primary_unit_encoded,skill_encoded,jaccard_followers,jaccard_followees,num_followers_s,num_followees_s,num_followers_d,num_followees_d,inter_followers,inter_followees,adar_index,follows_back,same_comp
91,12,0.0,0.0,0,0,1,0,0,0,0,0,0
38,79,1.0,0.0,1,0,1,0,1,0,0,0,1
45,16,0.0,0.0,0,0,0,0,0,0,0,0,0
49,1,0.0,0.0,1,0,1,0,0,0,0,0,0
9,67,0.0,0.0,0,0,0,0,0,0,0,0,0
19,16,0.0,0.0,1,0,0,0,0,0,0,0,0
86,38,0.0,0.0,1,0,1,0,0,0,0,0,1
72,31,0.0,0.0,0,0,1,0,0,0,0,0,0
88,89,0.0,0.0,1,0,0,0,0,0,0,0,0
5,85,0.0,0.0,1,0,0,0,0,0,0,0,0
71,50,0.0,0.0,0,0,1,0,0,0,0,0,0
70,2,0.0,0.0,1,0,0,0,0,0,0,0,0
46,62,1.0,0.0,1,0,1,0,1,0,0,0,1
28,31,0.0,0.0,0,0,1,0,0,0,0,0,0
38,30,0.0,0.0,1,0,0,0,0,0,0,0,0
28,76,0.0,0.0,0,0,1,0,0,0,0,0,0
41,38,0.0,0.0,0,0,1,0,0,0,0,0,0
31,96,0.0,0.0,1,0,0,0,0,0,0,0,0
52,47,0.0,0.0,0,0,0,0,0,0,0,0,0
62,29,0.0,0.0,1,0,1,0,0,0,0,0,0
74,89,0.0,0.0,1,0,0,0,0,0,0,0,0
75,40,0.0,0.0,1,0,1,0,0,0,0,0,0
89,76,0.0,0.0,0,0,1,0,0,0,0,0,0
31,43,0.0,0.0,1,0,0,0,0,0,0,0,0
22,28,0.0,0.0,1,0,0,0,0,0,0,0,0
27,103,0.0,0.0,0,0,1,0,0,0,0,0,0
1,16,0.0,0.0,1,0,0,0,0,0,0,0,0
2,23,0.0,0.0,0,0,0,0,0,0,0,0,0
60,46,0.0,0.0,0,0,1,0,0,0,0,0,0
15,89,0.0,0.0,0,0,0,0,0,0,0,0,0
63,6,0.0,0.0,0,0,1,0,0,0,0,0,0
22,74,0.0,0.0,1,0,1,0,0,0,0,0,0
20,4,0.0,0.0,1,0,1,0,0,0,0,0,0
1,40,1.0,0.0,1,0,1,0,1,0,0,0,1
26,99,0.0,0.0,1,0,0,0,0,0,0,0,0
44,86,0.0,0.0,0,0,1,0,0,0,0,0,0
11,53,0.0,0.0,0,0,1,0,0,0,0,0,0
85,26,0.0,0.0,0,0,1,0,0,0,0,0,0
52,22,0.0,0.0,0,0,1,0,0,0,0,0,0
63,62,0.0,0.0,0,0,1,0,0,0,0,0,0
86,22,0.0,0.0,1,0,1,0,0,0,0,0,0
7,15,0.0,0.0,1,0,0,0,0,0,0,0,0
101,68,0.0,0.0,1,0,0,0,0,0,0,0,0
36,53,1.0,0.0,1,0,1,0,1,0,0,0,1
95,2,0.0,0.0,0,0,0,0,0,0,0,0,0
79,65,0.0,0.0,1,0,0,0,0,0,0,0,0
9,5,0.0,0.0,0,0,1,0,0,0,0,0,0
88,59,0.0,0.0,1,0,0,0,0,0,0,0,0
44,65,0.0,0.0,0,0,0,0,0,0,0,0,0
50,5,0.0,0.0,1,0,1,0,0,0,0,0,0
80,98,0.0,0.0,1,0,0,0,0,0,0,0,0
11,12,0.0,0.0,0,0,1,0,0,0,0,0,0
38,70,0.0,0.0,1,0,1,0,0,0,0,0,0
36,66,0.0,0.0,1,0,0,0,0,0,0,0,0
86,7,0.0,0.0,1,0,1,0,0,0,0,0,0
27,46,0.0,0.0,0,0,1,0,0,0,0,0,0
70,23,0.0,0.0,1,0,0,0,0,0,0,0,0
